flag,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,NA,NA,NA,NA,NA,NA,NA,16.484,NA,NA,NA
Belize,272.756,242.942,483.459,234.022,170.636,105.424,167.368,200.362,221.632,164.684,15.09
Brazil,1500.49865,1912.69021,1606.95928,2013.22072,2551.4066,2420.04935,1334.30105,2176.719485,3010.47,3784.27,3434.903
China PR,40.599,130.799,83.563,64.47,47.722,20.474,30.486,282.714,126.818,52.452,44.816
Chinese Taipei,1625.487,2141.546,2073.656,2257.441,2239.935,1853.529,1991.787,2053.319,1372.269,861.454,1337.924
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,0.045328,NA,1152.689,NA
EU-España,13953.437,16978.097,14347.999,10473.488,11446.718,10133.282,10107.296,11486.309,13515.414,18496.712,14716.9822
EU-Portugal,6338.023,7642.326,2424.056,1646.174,1622.3,2420.143,5609.213,6662.679,8015.297887,6753.012335,7349.506
Japan,1160.881,1483.324,3059.856,2254.69,3232.001,2277.423,2127.303,3111.651,3495.359,2507.551,2102.014
Korea Rep,222.478,125,112.463,60.539,10.19935,71.495,251.944,103.889,194.451,175.076,57.028
Namibia,2351.247,2633.182,1176.093,1146.5,2470.6,2136.6,2774.9,1356.608,3290.4316,NA,3950.475
Senegal,NA,203.462,50.806,60.34,NA,17.777,15.137,10.756,NA,39.491,NA
South Africa,111.998,317.19,158.402,179.1222,525.269,401.592,355.908,418.2017,403.438,291.7464,51.8088
St Vincent and Grenadines,NA,NA,NA,NA,NA,NA,16.635,NA,NA,NA,NA
UK-Sta Helena,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Uruguay,207.927,724.556,432.745,129.8654,NA,NA,NA,NA,NA,NA,NA
USA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA
